year,month,product_code,product_name,quantity_tons,import_value,customs_amount
2018,10,1101,բանան,2366.8984,731.8807,177.929126
2018,10,1512,նարինջ,395.5636,142.0739,36.755122
2018,10,1701,ցորեն,29137.5679,2667.1829,76.288336
2018,10,207,բրինձ,1597.7351,475.9651,85.496046
2018,10,405,ալյուր,1952.6068,220.1638,3.663672
2018,10,803,հնդկաձավար,355.267,64.6246,0.0
2018,10,805,ձեթ,2722.4825,1147.2635,17.457783
2018,10,1104,մարգարին,1635.7277,858.5758,89.278484
2018,10,1517,"շաքարավազ, հումք",884.3819,187.2053,159.003541
2018,10,1901,մանկական սնունդ,27.59,106.8618,10.880837
2018,10,3004,դեղորայք,152.1294,5040.2976,919.717188
2018,10,2710,բենզին,12688.903,5120.6712,950.075043
2018,10,,դիզ. վառելիք,9122.438,3848.7875,0.0
2018,11,1001,թռչնի միս,2327.5913,1215.3155,426.944423
2018,11,1006,կարագ,493.8336,1213.3431,368.957274
2018,11,1101,բանան,1712.2528,531.5715,131.76164
2018,11,1512,նարինջ,1182.058,392.0351,101.929139
2018,11,1701,ցորեն,23062.535,2137.2046,28.857875
2018,11,207,բրինձ,854.8783,208.6238,36.184766
2018,11,405,ալյուր,1822.7615,237.8957,0.746768
2018,11,803,հնդկաձավար,532.0835,83.52709999999999,0.0
2018,11,805,ձեթ,2780.3136,3609.6026,4.927248
2018,11,1104,մարգարին,2377.8858,1355.2707,183.735203
2018,11,1517,"շաքարավազ, հումք",31610.786,4824.3814,4831.542443
2018,11,1901,մանկական սնունդ,58.5863,223.8963,29.151914
2018,11,3004,դեղորայք,908.967,7639.9932,1452.182355
2018,11,2710,բենզին,9845.717,3910.1935,904.021781
2018,11,,դիզ. վառելիք,7803.634,3312.9847,26.219257
2018,12,1001,թռչնի միս,4757.5918,2078.1546,796.729657
2018,12,1006,կարագ,491.7057,1326.8006,436.983406
2018,12,1101,բանան,2701.1082,831.8395,205.704967
2018,12,1512,նարինջ,3323.568,921.8374,239.705848
2018,12,1701,ցորեն,24541.69,2689.9283,43.129778
2018,12,207,բրինձ,1290.7125,308.517,54.758331
2018,12,405,ալյուր,1593.3476,188.3037,1.361842
2018,12,803,հնդկաձավար,248.9511,40.5831,0.042905
2018,12,805,ձեթ,2472.2889,1037.1699,18.485243
2018,12,1104,մարգարին,1858.1702,1028.3225,88.883612
2018,12,1517,"շաքարավազ, հումք",2451.6444,515.7273,469.488032
2018,12,1901,մանկական սնունդ,82.9703,300.6888,28.329479
2018,12,3004,դեղորայք,177.1779,7136.728,1269.826698
2018,12,2710,բենզին,10270.035,3629.6477,732.332361
2018,12,,դիզ. վառելիք,7123.598,2609.5961,104.344086
2019,1,1001,թռչնի միս,1526.54,643.5623,263.066936
2019,1,1006,կարագ,153.4413,391.7889,136.993991
2019,1,1101,բանան,1318.551,418.8441,103.873328
2019,1,1512,նարինջ,1181.13,337.0143,87.623715
2019,1,1701,ցորեն,8129.9407,789.1295,22.508324
2019,1,207,բրինձ,1452.925,371.3796,82.712399
2019,1,405,ալյուր,982.8636,124.9828,0.004231
2019,1,803,հնդկաձավար,218.94799999999998,24.6572,
2019,1,805,ձեթ,987.3378,399.1619,8.327774
2019,1,1104,մարգարին,899.0518,527.5992,79.463623
2019,1,1517,"շաքարավազ, հումք",168.7964,52.1875,15.6428
2019,1,1901,մանկական սնունդ,33.7204,132.7732,22.951479
2019,1,3004,դեղորայք,69.5756,4335.0234,956.593558
2019,1,2710,բենզին,19360.181,5754.9972,535.058397
2019,1,,դիզ. վառելիք,15863.635,5221.1881,90.229178
2019,2,1001,թռչնի միս,3390.6336,1474.9306,482.447574
2019,2,1006,կարագ,216.0239,536.3304,149.847767
2019,2,1101,բանան,1934.3674,685.3056,169.840784
2019,2,1512,նարինջ,2140.176,577.293,150.09972
2019,2,1701,ցորեն,22246.204,2401.1811,33.416275
2019,2,207,բրինձ,2478.9092,408.939,85.200529
2019,2,405,ալյուր,2423.4886,310.0541,0.0
2019,2,803,հնդկաձավար,551.1506999999999,92.67419999999998,0.0
2019,2,805,ձեթ,2256.0916,901.1875,0.001135
2019,2,1104,մարգարին,1817.4417,1061.0323,103.531301
2019,2,1517,"շաքարավազ, հումք",254.9556,63.3631,11.297208
2019,2,1901,մանկական սնունդ,30.2354,124.5984,14.911001
2019,2,3004,դեղորայք,164.8258,4258.8752,733.187638
2019,2,2710,բենզին,14896.386,4634.894,109.429803
2019,2,,դիզ. վառելիք,3213.758,1181.2918,0.0
2019,3,1001,թռչնի միս,3142.2746,1571.0084,415.367335
2019,3,1006,կարագ,290.98,681.7402,196.635996
2019,3,1101,բանան,1725.2056,697.8461,173.065836
2019,3,1512,նարինջ,2347.476,653.8694,170.006034
2019,3,1701,ցորեն,15728.09,1645.4179,26.301305
2019,3,207,բրինձ,791.3854,244.5686,46.54184
2019,3,405,ալյուր,2019.8213,289.352,4.110603
2019,3,803,հնդկաձավար,432.9062,73.3167,0.0
2019,3,805,ձեթ,2119.8835,844.7338,8.581216
2019,3,1104,մարգարին,1763.2915,928.4056,66.658342
2019,3,1517,"շաքարավազ, հումք",3.6087,2.6665,0.517156
2019,3,1901,մանկական սնունդ,17.0156,63.4866,2.110318
2019,3,3004,դեղորայք,117.7686,5417.5112,697.029284
2019,3,2710,բենզին,13091.637,4306.751,137.870965
2019,3,,դիզ. վառելիք,6336.768,2498.8967,0.0
2019,4,1001,թռչնի միս,3999.314,2104.3328,617.649272
2019,4,1006,կարագ,414.8885,951.3225,274.217144
2019,4,1101,բանան,1848.483,717.288,176.734617
2019,4,1512,նարինջ,1798.992,498.8416,129.69883
2019,4,1701,ցորեն,10329.29,1168.6587,29.739018
2019,4,207,բրինձ,553.1241,148.8194,31.496252
2019,4,405,ալյուր,1922.7739,262.8076,0.015857
2019,4,803,հնդկաձավար,441.579,69.589,0.0
2019,4,805,ձեթ,1528.5662,618.4472,6.365921
2019,4,1104,մարգարին,1586.0072,1066.1,134.329741
2019,4,1517,"շաքարավազ, հումք",8.3891,5.1777,0.784049
2019,4,1901,մանկական սնունդ,99.896,396.2074,45.651023
2019,4,3004,դեղորայք,164.4185,7736.4086,881.495853
2019,4,2710,բենզին,8844.615,3230.1047,0.0
2019,4,,դիզ. վառելիք,9273.804,3496.95,0.0
2019,5,1001,թռչնի միս,4746.0224,2170.2654,632.022932
2019,5,1006,կարագ,161.8828,377.8313,113.419267
2019,5,1101,բանան,2344.5993,829.3643,201.06638
2019,5,1512,նարինջ,698.962,178.129,46.313546
2019,5,1701,ցորեն,11275.71,1194.008,0.0
2019,5,207,բրինձ,866.1542,253.0004,49.474437
2019,5,405,ալյուր,1770.914,240.4299,0.468181
2019,5,803,հնդկաձավար,524.2604,88.4736,0.0
2019,5,805,ձեթ,2028.6318,783.2127,4.011811
2019,5,1104,մարգարին,1995.8567,1129.4792,99.052956
2019,5,1517,"շաքարավազ, հումք",4555.6987,920.1916,183.540724
2019,5,1901,մանկական սնունդ,12.759,44.0839,0.311299
2019,5,3004,դեղորայք,146.2698,4306.6894,816.315981
2019,5,2710,բենզին,8227.188,3202.2086,85.436271
