period_label,year_from,year_to,product_code,product_name,unit,quantity_from,value_from,quantity_to,value_to
2020-2021,2020,2021,0714,"Մանիոկա, սալեպ, գետնա- տանձ, խնձոր եւ նման այլ արմատա- պալարապտուղ",տոննա,11.4,4.5,22.3,8.8
2020-2021,2020,2021,0801,"Ընկույզներ կոկոսյան, բրազիլական եւ կեշյու",տոննա,4.0,19.8,30.7,204.4
2020-2021,2020,2021,0802,Այլ ընկույզներ,տոննա,1287.3,5917.3,3059.8,13212.8
2020-2021,2020,2021,0803,"Ադամաթուզ, ներառյալ պլանտայա թարմ կամ չորացրած",կգ,49512.5,133.0,120.0,1.1
2020-2021,2020,2021,0804,"Արմավ, թուզ, արքայախնձոր, ավոկադո, գուայավա, մանգո, գարցինիա թարմ կամ չորացրած",տոննա,2200.1,1908.7,2331.5,2225.8
2020-2021,2020,2021,0805,Ցիտրուսային պտուղ թարմ կամ չորացրած,տոննա,1923.3,2071.7,605.8,392.8
2020-2021,2020,2021,0806,Խաղող թարմ կամ չորացրած,տոննա,24053.7,14315.7,18077.2,11313.1
2020-2021,2020,2021,0807,"Սեխ, ձմերուկ, պապայա թարմ",տոննա,273.6,179.7,585.6,388.0
2020-2021,2020,2021,0808,"Խնձոր, տանձ, սերկեւիլ թարմ",տոննա,8775.0,4514.2,12400.7,6945.3
2020-2021,2020,2021,0809,"Ծիրան, բալ, կեռաս, դեղձ, նեկտարին, սալոր, մամուխ թարմ",տոննա,44166.5,29311.5,63551.0,39943.3
2020-2021,2020,2021,0810,Այլ մրգեր թարմ,տոննա,7131.9,13865.7,7599.2,17558.8
2020-2021,2020,2021,0811,Մրգեր եւ ընկույզներ` սառեցրած,տոննա,166.2,281.7,260.3,501.5
2020-2021,2020,2021,0812,Մրգեր եւ ընկույզներ` ոչ պիտանի անմիջական սննդի մեջ օգտագործելու,տոննա,3.0,1.5,1.7,2.0
2020-2021,2020,2021,0813,"Մրգեր չորացրած, բացի 0801-0806 դիրքերի պտուղները",տոննա,847.3,2360.4,844.1,3734.3
2020-2021,2020,2021,0814,"Ցիտրուսային պտուղների կեղեւ կամ սեխի, ձմերուկի կլեպ",կգ,51.0,0.0,19.0,0.0
2020-2021,2020,2021,0901,"Սուրճ, սրճի թեփուկներ եւ հատիկների պատյաններ; սուրճի փոխարինիչ",տոննա,1528.0,5236.0,1946.0,6707.1
2020-2021,2020,2021,0902,Թեյ,տոննա,46.8,66.4,91.2,129.5
2020-2021,2020,2021,0904,"Պղպեղ` չորացրած, մանրացրած",տոննա,10.5,44.8,13.3,31.5
2020-2021,2020,2021,0905,Վանիլ,կգ,16.0,0.0,170.0,0.4
2020-2021,2020,2021,0906,Դարչին եւ դարչնածառի ծաղիկներ,կգ,125.5,0.8,130.9,0.9
2020-2021,2020,2021,0907,Մեխակ` համեմունք,կգ,50.1,0.7,50.3,1.0
2020-2021,2020,2021,0908,"Մշկընկույզ, մացիս եւ հիլ",կգ,44.1,0.4,73.2,0.8
2020-2021,2020,2021,0909,"Սերմեր անիսոնի, բադյանի, ֆենխելի, գինձի, չամանի; գիհենու հատապտուղ",տոննա,2.2,4.9,5.8,4.7
2020-2021,2020,2021,0910,"Համեմունք` կոճապղպեղ, զաֆրան, տուրմերիկ, ուրց, դափնետերեւ եւ այլ",տոննա,58.5,239.1,28.2,138.1
2020-2021,2020,2021,1001,Ցորեն եւ մեսլին,տոննա,64.1,33.6,2376.4,592.2
2020-2021,2020,2021,1003,Գարի,կգ,0.0,0.0,25.0,0.0
2020-2021,2020,2021,1004,Վարսակ,կգ,200.0,0.2,0.0,0.0
2020-2021,2020,2021,1005,Եգիպտացորեն,կգ,985.0,0.5,319.2,0.6
2020-2021,2020,2021,1006,Բրինձ,կգ,3187.9,3.1,858.0,0.5
2020-2021,2020,2021,1008,"Հնդկացորեն, կորեկ եւ սերինոսահատիկի սերմ; հացահատիկային այլ բույսեր",տոննա,6.6,8.4,5.5,8.3
2020-2021,2020,2021,1101,Ալյուր ցորենի կամ ցորենա-աշորային,տոննա,5.3,11.1,11.3,7.4
2020-2021,2020,2021,1103,Ձավարեղեն,տոննա,358.0,279.2,366.9,298.5
2020-2021,2020,2021,1104,"Հացահատիկ, մշակած այլ ձեւով",տոննա,107.6,77.9,116.7,86.1
2020-2021,2020,2021,1108,Օսլա; ինուլին,կգ,0.0,0.0,275.5,0.3
2020-2021,2020,2021,1202,Գետնընկույզ,տոննա,7.0,11.6,5.0,14.1
2020-2021,2020,2021,1204,Վուշի սերմ,կգ,472.9,1.3,5331.0,2.1
2020-2021,2020,2021,1206,Արեւածաղկի սերմ,կգ,3848.0,17.7,192.0,1.2
2020-2021,2020,2021,1207,Սերմեր եւ պտուղներ այլ ձիթատու մշակաբույսերի,տոննա,2.2,4.1,1.6,4.2
2020-2021,2020,2021,1209,"Սերմեր, պտուղներ եւ բեղմնիկներ ցանքսի համար",կգ,103.9,0.1,165.8,0.2
2020-2021,2020,2021,1210,Գայլուկի ելունդ,կգ,430.0,0.4,0.0,0.0
