period_label,year_from,year_to,product_code,product_name,unit,quantity_from,value_from,quantity_to,value_to
2020-2021,2020,2021,0604,"Տերեւներ, ճյուղեր, խոտ, մամուռ, քարաքոս",տոննա,386.3,759.9,561.3,966.1
2020-2021,2020,2021,0701,Կարտոֆիլ թարմ կամ պաղեցրած,տոննա,2745.4,1858.1,3430.8,1776.2
2020-2021,2020,2021,0702,Լոլիկ թարմ կամ պաղեցրած,տոննա,2095.4,2431.1,2156.4,2970.2
2020-2021,2020,2021,0703,"Սոխ, սխտոր, սոխ-պրաս թարմ կամ պաղեցրած",տոննա,4461.6,1717.2,5769.0,2899.8
2020-2021,2020,2021,0704,Կաղամբ եւ այլ կաղամբատեսակ թարմ կամ պաղեցրած,տոննա,1751.0,864.5,2354.4,951.1
2020-2021,2020,2021,0705,Սալաթ կաթնուկ եւ եղերդ թարմ կամ պաղեցրած,տոննա,240.5,187.8,255.1,232.3
2020-2021,2020,2021,0706,"Գազար, շաղգամ, ճակնդեղ, նեխուր, ամսաբողկ թարմ կամ պաղեցրած",տոննա,4064.1,1152.4,4811.3,1358.9
2020-2021,2020,2021,0707,Վարունգ թարմ կամ պաղեցրած,տոննա,2174.4,1976.0,2557.5,2251.7
2020-2021,2020,2021,0708,Լոբազգի բանջարեղեն թարմ կամ պաղեցրած,տոննա,181.3,56.4,59.6,51.5
2020-2021,2020,2021,0709,Այլ բանջարեղեն թարմ կամ պաղեցրած,տոննա,3343.2,3916.4,4927.6,6058.5
2020-2021,2020,2021,0710,Բանջարեղեն սառեցրած,տոննա,47.3,60.7,129.5,179.6
2020-2021,2020,2021,0711,Բանջարեղեն` ոչ պիտանի անմիջական սննդի մեջ օգտագործելու,տոննա,1139.5,810.6,1302.0,1130.7
2020-2021,2020,2021,0712,Բանջարեղեն չորացրած,տոննա,51.0,337.0,72.3,292.4
2020-2021,2020,2021,0713,Լոբազգի բանջարեղեն չորացրած,տոննա,6647.7,3377.1,5677.5,3187.7
2020-2021,2020,2021,0714,"Մանիոկա, սալեպ, գետնա- տանձ, խնձոր եւ նման այլ արմատա- պալարապտուղ",կգ,717.0,1.5,6043.0,9.2
2020-2021,2020,2021,0801,"Ընկույզներ կոկոսյան, բրազիլական եւ կեշյու",տոննա,284.6,1475.4,304.9,1850.8
2020-2021,2020,2021,0802,Այլ ընկույզներ,տոննա,1713.6,9087.3,4095.5,21112.1
2020-2021,2020,2021,0803,"Ադամաթուզ, ներառյալ պլանտայա թարմ կամ չորացրած",տոննա,21595.5,13963.8,22300.9,15284.6
2020-2021,2020,2021,0804,"Արմավ, թուզ, արքայախնձոր, ավոկադո, գուայավա, մանգո, գարցինիա թարմ կամ չորացրած",տոննա,3087.9,3689.6,3988.5,5257.7
2020-2021,2020,2021,0805,Ցիտրուսային պտուղ թարմ կամ չորացրած,տոննա,34527.2,18005.5,35260.4,19324.6
2020-2021,2020,2021,0806,Խաղող թարմ կամ չորացրած,տոննա,2032.7,2267.1,894.3,1678.7
2020-2021,2020,2021,0807,"Սեխ, ձմերուկ, պապայա թարմ",տոննա,4956.5,2735.4,6306.1,3433.1
2020-2021,2020,2021,0808,"Խնձոր, տանձ, սերկեւիլ թարմ",տոննա,1940.5,1716.3,2823.3,1930.4
2020-2021,2020,2021,0809,"Ծիրան, բալ, կեռաս, դեղձ, նեկտարին, սալոր, մամուխ թարմ",տոննա,12480.7,8732.1,10070.1,5892.8
2020-2021,2020,2021,0810,Այլ մրգեր թարմ,տոննա,12958.2,7765.7,16802.7,10174.7
2020-2021,2020,2021,0811,Մրգեր եւ ընկույզներ` սառեցրած,տոննա,198.5,263.1,141.0,239.6
2020-2021,2020,2021,0813,"Մրգեր չորացրած, բացի 0801-0806 դիրքերի պտուղները",տոննա,113.6,288.1,195.8,429.2
2020-2021,2020,2021,0814,"Ցիտրուսային պտուղների կեղեւ կամ սեխի, ձմերուկի կլեպ",կգ,0.0,0.0,25.0,0.2
2020-2021,2020,2021,0901,"Սուրճ, սրճի թեփուկներ եւ հատիկների պատյաններ; սուրճի փոխարինիչ",տոննա,12861.4,22689.5,14365.7,38243.0
2020-2021,2020,2021,0902,Թեյ,տոննա,524.6,2608.6,476.5,2850.1
2020-2021,2020,2021,0903,Մատե կամ պարագվայական թեյ,կգ,7.0,0.1,522.5,1.9
2020-2021,2020,2021,0904,"Պղպեղ` չորացրած, մանրացրած",տոննա,585.0,1074.6,451.0,1106.7
2020-2021,2020,2021,0905,Վանիլ,տոննա,9.1,60.5,6.5,58.9
2020-2021,2020,2021,0906,Դարչին եւ դարչնածառի ծաղիկներ,տոննա,28.7,57.0,27.5,89.9
2020-2021,2020,2021,0907,Մեխակ` համեմունք,տոննա,10.4,41.9,8.2,36.2
2020-2021,2020,2021,0908,"Մշկընկույզ, մացիս եւ հիլ",տոննա,3.4,21.6,3.4,27.9
2020-2021,2020,2021,0909,"Սերմեր անիսոնի, բադյանի, ֆենխելի, գինձի, չամանի; գիհենու հատապտուղ",տոննա,27.1,52.1,53.5,76.8
2020-2021,2020,2021,0910,"Համեմունք` կոճապղպեղ, զաֆրան, տուրմերիկ, ուրց, դափնետերեւ եւ այլ",տոննա,439.3,606.8,202.0,488.5
2020-2021,2020,2021,1001,Ցորեն եւ մեսլին,տոննա,354157.5,72416.4,271333.2,62364.5
2020-2021,2020,2021,1003,Գարի,տոննա,23742.0,3612.1,34538.0,5466.9
2020-2021,2020,2021,1004,Վարսակ,տոննա,3.2,8.0,319.9,82.1
2020-2021,2020,2021,1005,Եգիպտացորեն,տոննա,71862.4,13244.8,66591.9,14033.4
2020-2021,2020,2021,1006,Բրինձ,տոննա,11135.2,6968.6,8917.3,6802.3
2020-2021,2020,2021,1008,"Հնդկացորեն, կորեկ եւ սերինոսահատիկի սերմ; հացահատիկային այլ բույսեր",տոննա,1252.6,665.4,999.2,754.7
2020-2021,2020,2021,1101,Ալյուր ցորենի կամ ցորենա-աշորային,տոննա,20037.3,5640.0,20937.6,6078.5
2020-2021,2020,2021,1102,"Ալյուր հացահատիկային այլ բույսի, բացի ցորենի կամ ցորենա-աշորային",տոննա,325.6,165.3,474.7,140.3
2020-2021,2020,2021,1103,Ձավարեղեն,տոննա,2558.9,1162.0,1194.2,717.7
2020-2021,2020,2021,1104,"Հացահատիկ, մշակած այլ ձեւով",տոննա,4763.1,3454.5,4053.7,3363.2
2020-2021,2020,2021,1105,"Մանր եւ խոշոր աղացվածքի ալյուր, փոշի, փաթիլներ, հաբեր կարտոֆիլի",տոննա,21.3,24.0,63.5,93.0
2020-2021,2020,2021,1106,"0713, 0714 դիրքերի կամ 08 խմբի ապրանքների մանր եւ խոշոր աղացվածքի ալյուր",տոննա,7.2,45.1,7.9,58.5
2020-2021,2020,2021,1107,Ածիկ,տոննա,3895.6,5606.7,2460.7,1242.9
2020-2021,2020,2021,1108,Օսլա; ինուլին,տոննա,1681.3,939.1,1479.3,733.9
2020-2021,2020,2021,1109,"Ցորենի սնձան, չոր կամ հում",տոննա,371.3,436.5,413.2,568.1
2020-2021,2020,2021,1201,Սոյայի պտուղներ,տոննա,99.1,47.6,249.8,167.9
2020-2021,2020,2021,1202,Գետնընկույզ,տոննա,1326.2,1960.3,1187.7,2147.9
2020-2021,2020,2021,1204,Վուշի սերմ,տոննա,151.0,152.7,10.1,12.4
2020-2021,2020,2021,1205,Կանճրակի (հլածուկի) սերմ,կգ,22000.0,6.2,0.1,0.4
2020-2021,2020,2021,1206,Արեւածաղկի սերմ,տոննա,3635.1,3866.6,3044.8,3135.0
2020-2021,2020,2021,1207,Սերմեր եւ պտուղներ այլ ձիթատու մշակաբույսերի,տոննա,337.5,807.0,255.8,915.6
2020-2021,2020,2021,1208,Ալյուր մանր եւ խոշոր աղացվածքի ձիթատու մշակաբույսերից,տոննա,9.7,6.9,1.7,3.1
2020-2021,2020,2021,1209,"Սերմեր, պտուղներ եւ բեղմնիկներ ցանքսի համար",տոննա,280.5,3276.9,314.8,4171.4
2020-2021,2020,2021,1210,Գայլուկի ելունդ,տոննա,62.1,845.2,25.0,362.8
2020-2021,2020,2021,1211,"Բույսեր եւ դրանց մասեր` օծանելիքի, դեղագործական, միջատասպան նպատակներով",տոննա,66.7,162.7,143.0,232.5
2020-2021,2020,2021,1212,"Եղջերապտուղ, ծովային եւ այլ  ջրիմուռ, շաքարի ճակնդեղ,  շաքարեղեգ; պտղի կորիզ եւ դրա միջուկը",տոննա,3.2,60.6,10.3,140.7
2020-2021,2020,2021,1213,Հացահատիկային բույսերի ծղոտ եւ մղեղ,տոննա,0.0,0.0,1398.2,487.1
2020-2021,2020,2021,1214,"Շաղգամ, տերեւային ճակնդեղ, խոտ, առվույտ, կորնգան եւ նման կերամիջոց",տոննա,47.7,18.4,602.9,189.6
2020-2021,2020,2021,1301,"Դոճխեժ; բնական ձյութեր, սոսնձախեժ եւ բեւեկնախեժ",տոննա,6.3,35.4,9.5,44.8
2020-2021,2020,2021,1302,Բուսական հյութ եւ խտահյութ; պեկտինային նյութեր; ագար-ագար,տոննա,314.0,7541.0,330.0,9754.2
2020-2021,2020,2021,1401,"Նյութեր բուսական` հյուսելու համար (բամբուկ, ռոտանգ, եղեգ, ճիլ, ուռի, ռաֆիա)",տոննա,18.0,27.8,57.4,65.5
2020-2021,2020,2021,1404,"Նյութեր բուսական ծագման, այլ տեղում չնշած",տոննա,252.7,74.4,932.7,627.2
2020-2021,2020,2021,1501,"Ճարպ խոզի եւ ընտանի թռչնի, ոչ 0209 կամ 1503 դիրքերում նշած ճարպ",կգ,19.2,0.1,7.7,0.0
2020-2021,2020,2021,1502,"Ճարպ խոշոր եղջրավոր անասունի, ոչխարի կամ այծի, ոչ 1503 դիրքում նշած  ճարպ",տոննա,49.6,109.3,315.6,43.2
2020-2021,2020,2021,1504,"Ճարպեր, յուղեր եւ դրանց զտամասեր, ձկան կամ ծովային կաթնասունի",տոննա,757.0,887.3,658.0,845.1
2020-2021,2020,2021,1505,Ճարպաքրտինք եւ դրանից ստացվող ճարպանյութ (ներառյալ բրդաճարպը),կգ,2191.2,46.7,380.2,14.1
2020-2021,2020,2021,1507,Սոյայի ձեթ,տոննա,684.2,516.8,302.5,388.4
2020-2021,2020,2021,1508,Գետնընկույզի ձեթ,կգ,1447.0,3.6,937.1,3.1
2020-2021,2020,2021,1509,Ձիթապտղի ձեթ,տոննա,141.3,658.5,129.8,670.1
2020-2021,2020,2021,1510,Այլ ձեթեր եւ դրանց զտամասեր միայն զեյթունից,տոննա,78.0,175.8,86.1,228.6
2020-2021,2020,2021,1511,Արմավենու ձեթ,տոննա,1010.9,1161.4,1302.8,2259.2
2020-2021,2020,2021,1512,"Արեւածաղկի, քրքումի կամ բամբակի ձեթ",տոննա,28336.0,26767.8,25080.0,36604.4
2020-2021,2020,2021,1513,"Հնդկընկույզի (միջուկի), արմավամիջուկի կամ բաբասուի ձեթ",տոննա,116.1,203.4,285.9,584.5
2020-2021,2020,2021,1514,Կանճրակի կամ մանանեխի ձեթ,կգ,942.9,1.4,1509.2,4.0
2020-2021,2020,2021,1515,Այլ բուսական ճարպ եւ ձեթ (ներառյալ ժոժոբա),տոննա,754.5,1060.8,553.8,1258.4
2020-2021,2020,2021,1516,"Կենդանական կամ բուսական ճարպ եւ յուղ, դրանց զտամասերը",տոննա,235.0,300.7,176.5,364.1
2020-2021,2020,2021,1517,Մարգարին; խառնուրդ կամ պատրաստի մթերք  կենդանական կամ բուսական ճարպից կամ յուղից,տոննա,18886.2,20719.2,19250.7,29116.0
2020-2021,2020,2021,1518,Կենդանական կամ բուսական ճարպ եւ յուղ` սննդի մեջ ոչ պիտանի,տոննա,2.5,3.3,19.0,38.6
2020-2021,2020,2021,1520,Գլիցերին,կգ,720.0,2.4,3223.7,10.8
2020-2021,2020,2021,1521,"Բուսական մոմ, մեղրամոմ, այլ միջատի մոմ եւ կետաճարպ",կգ,15.4,0.4,87.0,0.2
2020-2021,2020,2021,1522,Դեգրաներ; կենդանական կամ բուսական ծագման յուղի կամ մոմի մշակման մնացորդ,տոննա,37.0,4.3,0.0,0.0
2020-2021,2020,2021,1601,Երշիկեղեն եւ նման մթերք մսից կամ արյունից,տոննա,2316.9,4749.6,2229.7,5320.1
2020-2021,2020,2021,1602,Այլ պատրաստի կամ պահածո մսամթերք,տոննա,1227.4,2146.9,1086.5,2670.6
2020-2021,2020,2021,1603,"Թանձրահյութ եւ հյութ մսի, ձկան կամ ջրային անողնաշարավորի",կգ,4.0,0.2,7.0,0.1
2020-2021,2020,2021,1604,Պատրաստի կամ պահած. ձուկ; ձկնկիթ կամ խավիարի փոխարինիչ,տոննա,1710.5,2903.9,1596.4,3604.2
2020-2021,2020,2021,1605,"Պատրաստի կամ պահածո խեցե-, կակղա-մորթ եւ այլ անողնաշարավոր",տոննա,41.8,258.9,77.7,563.4
2020-2021,2020,2021,1701,Շաքար,տոննա,73857.0,27574.4,74763.9,42839.3
2020-2021,2020,2021,1702,"Այլ շաքար (գլյուկոզա, լակտոզա); շաքարի օշարակ; արհեստական մեղր",տոննա,1283.1,722.2,1482.9,937.7
2020-2021,2020,2021,1703,Մաթ,կգ,21511.5,8.7,30.0,0.1
2020-2021,2020,2021,1704,Հրուշակեղեն պատրաստված շաքարից` առանց կակաոյի,տոննա,6026.7,11674.6,5442.8,13997.2
2020-2021,2020,2021,1801,Հատիկավոր կակաո,տոննա,976.1,2566.1,1154.8,3267.5
2020-2021,2020,2021,1802,"Կլեպ, թաղանթ, կեղեւ եւ կակաոյի այլ մնացորդ",տոննա,3.0,1.8,1.3,1.0
2020-2021,2020,2021,1803,Կակաոյի մածուկ,տոննա,34.1,138.0,148.7,628.4
2020-2021,2020,2021,1804,"Կակաո-յուղ, -ճարպ",տոննա,42.1,258.0,42.7,243.0
2020-2021,2020,2021,1805,Կակաո-փոշի,տոննա,951.7,1694.5,510.6,1603.5
2020-2021,2020,2021,1806,Շոկոլադ եւ այլ կակաո պարունակող սնունդ,տոննա,13769.3,37552.7,11961.6,47725.8
2020-2021,2020,2021,1901,"Ածիկային խտահյութ; սննդամթերք ալյուրից, ձավարեղենից, օսլայից, ածիկային խտահյութից,",տոննա,3927.8,9039.3,3323.6,8245.2
2020-2021,2020,2021,1902,Մակարոնեղեն,տոննա,14333.3,7674.9,10830.3,7162.8
2020-2021,2020,2021,1903,Օսլայից պատրաստած կերակրատեսակ,տոննա,3.5,12.3,2.3,8.9
2020-2021,2020,2021,1904,Պատրաստի սննդամթերք` հացաբույսերից,տոննա,2818.5,988.1,806.4,1431.2
2020-2021,2020,2021,1905,"Հաց, հրուշակեղեն ալյուրից",տոննա,16710.8,21097.4,8987.0,23671.9
2020-2021,2020,2021,2001,"Բանջարեղեն, մրգեր, ընկուզեղեն պաhածոյացված քացախով",տոննա,1235.0,1072.7,895.5,1054.3
2020-2021,2020,2021,2002,Լոլիկի մածուկ,տոննա,4479.4,3164.4,4469.8,3449.7
2020-2021,2020,2021,2003,Սնկեր եւ գետնասնկեր պահածոյացված,տոննա,163.8,186.8,141.0,194.7
2020-2021,2020,2021,2004,Այլ բանջարեղեն պահածոյացված ոչ քացախով` սառեցրած,տոննա,805.9,847.6,1473.7,1488.2
2020-2021,2020,2021,2005,Այլ բանջարեղեն պահածոյացված ոչ քացախով` չսառեցրած,տոննա,6580.2,10451.3,8511.7,13342.6
2020-2021,2020,2021,2006,"Բանջարեղեն, մրգեր, ընկուզեղեն պահածոյացված շաքարով",տոննա,24.5,96.9,21.7,30.8
2020-2021,2020,2021,2007,"Ջեմ, մարմելադ, մրգախյուս",տոննա,628.6,590.0,1030.9,1251.6
